--------------------------------------------------------------------------------
This is a log file of running processes on machine created using automation script
--------------------------------------------------------------------------------
{'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 0}
{'name': 'System', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 4}
{'name': '', 'username': None, 'pid': 140}
{'name': 'Registry', 'username': None, 'pid': 184}
{'name': 'csrss.exe', 'username': None, 'pid': 472}
{'name': 'cpptools.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 684}
{'name': 'smss.exe', 'username': None, 'pid': 716}
{'name': 'cmd.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 1036}
{'name': 'wininit.exe', 'username': None, 'pid': 1044}
{'name': 'csrss.exe', 'username': None, 'pid': 1056}
{'name': 'RuntimeBroker.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 1084}
{'name': 'svchost.exe', 'username': None, 'pid': 1120}
{'name': 'services.exe', 'username': None, 'pid': 1124}
{'name': 'LsaIso.exe', 'username': None, 'pid': 1132}
{'name': 'conhost.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 1144}
{'name': 'lsass.exe', 'username': None, 'pid': 1152}
{'name': 'svchost.exe', 'username': None, 'pid': 1192}
{'name': 'winlogon.exe', 'username': None, 'pid': 1224}
{'name': 'svchost.exe', 'username': None, 'pid': 1264}
{'name': 'svchost.exe', 'username': None, 'pid': 1360}
{'name': 'fontdrvhost.exe', 'username': None, 'pid': 1368}
{'name': 'fontdrvhost.exe', 'username': None, 'pid': 1376}
{'name': 'chrome.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 1388}
{'name': 'chrome.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 1400}
{'name': 'WUDFHost.exe', 'username': None, 'pid': 1492}
{'name': 'RtkAudUService64.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 1540}
{'name': 'svchost.exe', 'username': None, 'pid': 1544}
{'name': 'svchost.exe', 'username': None, 'pid': 1588}
{'name': 'dwm.exe', 'username': None, 'pid': 1664}
{'name': 'svchost.exe', 'username': None, 'pid': 1732}
{'name': 'WUDFHost.exe', 'username': None, 'pid': 1752}
{'name': 'svchost.exe', 'username': None, 'pid': 1832}
{'name': 'svchost.exe', 'username': None, 'pid': 1884}
{'name': 'svchost.exe', 'username': None, 'pid': 1892}
{'name': 'svchost.exe', 'username': None, 'pid': 1900}
{'name': 'svchost.exe', 'username': None, 'pid': 1908}
{'name': 'conhost.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 1984}
{'name': 'WUDFHost.exe', 'username': None, 'pid': 2008}
{'name': 'svchost.exe', 'username': None, 'pid': 2064}
{'name': 'chrome.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 2076}
{'name': 'svchost.exe', 'username': None, 'pid': 2136}
{'name': 'svchost.exe', 'username': None, 'pid': 2168}
{'name': 'svchost.exe', 'username': None, 'pid': 2196}
{'name': 'svchost.exe', 'username': None, 'pid': 2208}
{'name': 'WUDFHost.exe', 'username': None, 'pid': 2344}
{'name': 'IntelCpHDCPSvc.exe', 'username': None, 'pid': 2360}
{'name': 'sourcery.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 2368}
{'name': 'svchost.exe', 'username': None, 'pid': 2380}
{'name': 'svchost.exe', 'username': None, 'pid': 2420}
{'name': 'svchost.exe', 'username': None, 'pid': 2444}
